ID,Category,Subcategory,Shade_Name,Hex_Code,Recommended_Surface,Mood_And_Description
SHADE-0001,Most Searched: Living Room,Warm Neutrals & Greiges,Swiss Coffee,#D7DAB4,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0002,Most Searched: Living Room,Warm Neutrals & Greiges,Alabaster White,#E0D6C6,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0003,Most Searched: Living Room,Warm Neutrals & Greiges,Warm Greige,#DBE0BC,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0004,Most Searched: Living Room,Warm Neutrals & Greiges,Natural Canvas,#E4DCCE,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0005,Most Searched: Living Room,Warm Neutrals & Greiges,Pale Linen,#F2CEC7,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0006,Most Searched: Living Room,Warm Neutrals & Greiges,Oat Milk,#ECE8BB,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0007,Most Searched: Living Room,Warm Neutrals & Greiges,Toasted Almond,#ECE8BB,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0008,Most Searched: Living Room,Warm Neutrals & Greiges,Sand Dune,#E2D9CA,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0009,Most Searched: Living Room,Warm Neutrals & Greiges,Desert Taupe,#F4D1CB,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0010,Most Searched: Living Room,Warm Neutrals & Greiges,Birch White,#F2CEC7,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0011,Most Searched: Living Room,Warm Neutrals & Greiges,Vanilla Silk,#EFDBC1,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0012,Most Searched: Living Room,Warm Neutrals & Greiges,Light Cashmere,#D9DDB8,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0013,Most Searched: Living Room,Warm Neutrals & Greiges,Pale Chamois,#EDD8BD,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0014,Most Searched: Living Room,Warm Neutrals & Greiges,Biscotti Cream,#E3C9CC,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0015,Most Searched: Living Room,Warm Neutrals & Greiges,Clam Shell,#EAE5B7,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0016,Most Searched: Living Room,Warm Neutrals & Greiges,Macadamia Buff,#E6DFD2,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0017,Most Searched: Living Room,Warm Neutrals & Greiges,Wheat Field,#E9D2B5,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0018,Most Searched: Living Room,Warm Neutrals & Greiges,Frosted Truffle,#F6D4CF,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0019,Most Searched: Living Room,Warm Neutrals & Greiges,Bone White,#E0D6C6,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0020,Most Searched: Living Room,Warm Neutrals & Greiges,Warm Ivory,#D7DAB4,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0021,Most Searched: Living Room,Warm Neutrals & Greiges,Parchment Haze,#DDE3C0,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0022,Most Searched: Living Room,Warm Neutrals & Greiges,Creamy Chiffon,#D7DAB4,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0023,Most Searched: Living Room,Warm Neutrals & Greiges,Pale Khaki,#D7DAB4,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0024,Most Searched: Living Room,Warm Neutrals & Greiges,Soft Putty,#F6D4CF,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0025,Most Searched: Living Room,Warm Neutrals & Greiges,Cashmere Tweed,#E5CCD0,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0026,Most Searched: Living Room,Warm Neutrals & Greiges,Travertine Cream,#DACDBA,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0027,Most Searched: Living Room,Warm Neutrals & Greiges,Sesame Seed,#DCD0BE,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0028,Most Searched: Living Room,Warm Neutrals & Greiges,Raw Silk,#E9D2B5,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0029,Most Searched: Living Room,Warm Neutrals & Greiges,Dovetail Beige,#EDD8BD,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0030,Most Searched: Living Room,Warm Neutrals & Greiges,Bleached Sandstone,#E3C9CC,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0031,Most Searched: Living Room,Warm Neutrals & Greiges,Malted Cream,#D6C7B2,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0032,Most Searched: Living Room,Warm Neutrals & Greiges,Cornsilk Haze,#F4D1CB,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0033,Most Searched: Living Room,Warm Neutrals & Greiges,Bleached Sisal,#DFE6C4,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0034,Most Searched: Living Room,Warm Neutrals & Greiges,Light Pumice,#D6C7B2,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0035,Most Searched: Living Room,Warm Neutrals & Greiges,Limestone Gray,#D8CAB6,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0036,Most Searched: Living Room,Warm Neutrals & Greiges,Pale Adobe,#E1E9C8,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0037,Most Searched: Living Room,Warm Neutrals & Greiges,Warm Mushroom,#E2D9CA,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0038,Most Searched: Living Room,Warm Neutrals & Greiges,Blonde Wood,#DED3C2,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0039,Most Searched: Living Room,Warm Neutrals & Greiges,Vanilla Glaze,#F8D7D3,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0040,Most Searched: Living Room,Warm Neutrals & Greiges,Oatmeal Haze,#F6D4CF,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0041,Most Searched: Living Room,Warm Neutrals & Greiges,Silken Taupe,#E9D2B5,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0042,Most Searched: Living Room,Warm Neutrals & Greiges,Cozy Greige,#F0CBC3,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0043,Most Searched: Living Room,Warm Neutrals & Greiges,Antique Linen,#E2D9CA,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
SHADE-0044,Most Searched: Living Room,Warm Neutrals & Greiges,Almond Milk,#EAE5B7,Walls & Trims,Warm Neutrals & Greiges tone curated for optimal interior/exterior depth and light reflectance.
